uids,merchant_click_seq
51,"['merch2', 'merch9', 'merch1', 'merch5', 'merch9', 'merch7', 'merch0', 'merch1', 'merch9', 'merch2', 'merch5', 'merch2', 'merch9', 'merch4', 'merch1', 'merch2', 'merch0', 'merch1', 'merch2', 'merch6', 'merch8', 'merch2']"
52,"['merch9', 'merch4', 'merch0', 'merch8', 'merch9', 'merch1', 'merch9', 'merch5', 'merch4', 'merch2', 'merch4', 'merch0', 'merch7']"
53,"['merch9', 'merch0', 'merch2', 'merch9', 'merch2', 'merch0', 'merch5', 'merch7', 'merch9', 'merch4', 'merch9', 'merch5', 'merch7', 'merch6', 'merch9', 'merch3', 'merch4', 'merch9']"
54,"['merch1', 'merch2', 'merch1', 'merch6', 'merch2', 'merch0', 'merch6', 'merch3', 'merch7', 'merch8', 'merch3', 'merch1', 'merch6', 'merch5', 'merch3', 'merch0', 'merch1', 'merch8', 'merch7', 'merch1']"
55,"['merch4', 'merch1', 'merch7', 'merch1', 'merch4', 'merch1', 'merch0', 'merch1', 'merch7', 'merch5', 'merch2', 'merch3', 'merch1', 'merch4', 'merch1', 'merch3', 'merch4']"
56,"['merch2', 'merch6', 'merch2', 'merch9', 'merch7', 'merch1', 'merch4', 'merch2', 'merch8', 'merch2']"
57,"['merch2', 'merch6', 'merch1', 'merch2', 'merch9', 'merch7', 'merch2', 'merch3', 'merch4', 'merch2', 'merch4']"
58,"['merch3', 'merch4', 'merch1', 'merch4', 'merch0', 'merch1', 'merch5', 'merch9', 'merch2', 'merch3', 'merch5', 'merch2', 'merch5', 'merch2']"
59,"['merch7', 'merch2', 'merch4', 'merch3', 'merch2', 'merch8', 'merch6', 'merch1']"
60,"['merch2', 'merch9', 'merch7', 'merch1', 'merch5', 'merch2', 'merch1', 'merch9', 'merch3', 'merch2', 'merch5', 'merch9']"
61,"['merch5', 'merch1', 'merch3', 'merch9', 'merch1', 'merch6', 'merch5', 'merch6', 'merch8', 'merch1', 'merch5', 'merch8', 'merch5', 'merch3', 'merch5', 'merch3', 'merch1', 'merch3', 'merch2', 'merch3', 'merch6']"
62,"['merch6', 'merch8', 'merch6', 'merch2', 'merch4', 'merch5', 'merch1', 'merch9', 'merch5', 'merch2', 'merch4', 'merch8', 'merch2']"
63,"['merch8', 'merch3', 'merch6', 'merch2', 'merch5', 'merch9', 'merch1', 'merch7', 'merch4', 'merch1', 'merch7', 'merch3', 'merch5', 'merch6', 'merch8', 'merch1', 'merch5', 'merch8', 'merch1', 'merch2']"
64,"['merch9', 'merch2', 'merch9', 'merch2', 'merch1', 'merch7', 'merch2', 'merch7', 'merch1', 'merch9']"
65,"['merch2', 'merch6', 'merch3', 'merch5', 'merch0', 'merch2', 'merch5', 'merch9', 'merch3', 'merch5', 'merch3', 'merch0']"
66,"['merch5', 'merch7', 'merch9', 'merch3', 'merch7', 'merch3', 'merch1', 'merch9', 'merch3', 'merch4', 'merch3', 'merch5']"
67,"['merch7', 'merch9', 'merch3', 'merch6', 'merch4', 'merch2', 'merch3', 'merch5', 'merch8', 'merch0', 'merch5', 'merch7', 'merch2', 'merch4']"
68,"['merch2', 'merch0', 'merch3', 'merch5', 'merch4', 'merch0', 'merch9', 'merch8', 'merch5', 'merch2', 'merch1', 'merch3', 'merch1', 'merch9', 'merch4', 'merch7', 'merch1', 'merch7', 'merch5']"
69,"['merch2', 'merch3', 'merch0', 'merch8', 'merch1', 'merch7', 'merch4', 'merch9', 'merch1', 'merch5', 'merch4', 'merch1', 'merch2']"
70,"['merch1', 'merch3', 'merch1', 'merch3', 'merch8', 'merch0', 'merch6', 'merch1', 'merch3', 'merch9', 'merch8', 'merch2', 'merch8', 'merch4', 'merch3', 'merch7', 'merch4']"
71,"['merch1', 'merch6', 'merch8', 'merch2', 'merch3', 'merch9', 'merch3', 'merch4', 'merch1', 'merch9', 'merch5', 'merch9', 'merch2', 'merch9', 'merch4', 'merch8', 'merch0', 'merch5', 'merch2']"
72,"['merch0', 'merch8', 'merch9', 'merch1', 'merch4', 'merch5', 'merch1', 'merch8', 'merch4', 'merch8', 'merch3', 'merch9', 'merch2', 'merch1', 'merch9', 'merch6', 'merch9', 'merch7', 'merch5', 'merch8']"
73,"['merch0', 'merch4', 'merch9', 'merch2', 'merch7', 'merch3', 'merch1', 'merch7', 'merch1', 'merch0', 'merch1', 'merch4', 'merch3']"
74,"['merch0', 'merch5', 'merch1', 'merch7', 'merch9', 'merch0', 'merch9', 'merch8', 'merch1', 'merch9', 'merch2', 'merch5', 'merch1', 'merch5', 'merch3', 'merch1', 'merch7', 'merch2', 'merch7']"
75,"['merch7', 'merch4', 'merch2', 'merch3', 'merch9', 'merch0', 'merch3', 'merch6', 'merch5', 'merch3', 'merch9', 'merch5', 'merch7', 'merch3', 'merch1']"
76,"['merch2', 'merch1', 'merch4', 'merch8', 'merch5', 'merch7', 'merch3', 'merch1']"
77,"['merch8', 'merch3', 'merch1', 'merch9', 'merch1', 'merch8', 'merch9', 'merch8', 'merch0', 'merch1', 'merch8', 'merch5', 'merch1', 'merch2', 'merch5']"
78,"['merch5', 'merch2', 'merch1', 'merch0', 'merch3', 'merch2', 'merch3', 'merch4', 'merch3', 'merch4', 'merch9', 'merch1', 'merch9', 'merch7', 'merch2', 'merch9', 'merch2', 'merch9']"
79,"['merch9', 'merch1', 'merch8', 'merch4', 'merch1', 'merch2', 'merch1', 'merch9', 'merch2', 'merch8', 'merch4', 'merch7', 'merch2', 'merch7']"
80,"['merch2', 'merch3', 'merch1', 'merch7', 'merch2', 'merch1', 'merch8', 'merch6', 'merch5', 'merch9', 'merch4', 'merch5', 'merch1', 'merch5', 'merch2', 'merch6']"
81,"['merch9', 'merch1', 'merch3', 'merch1', 'merch2', 'merch3', 'merch7', 'merch6', 'merch0', 'merch8', 'merch2', 'merch5', 'merch4', 'merch8', 'merch1', 'merch8', 'merch1', 'merch2']"
82,"['merch2', 'merch6', 'merch8', 'merch2', 'merch4', 'merch0', 'merch7', 'merch9', 'merch0', 'merch2', 'merch3', 'merch1', 'merch2', 'merch3']"
83,"['merch8', 'merch3', 'merch2', 'merch1', 'merch3', 'merch1', 'merch4', 'merch7', 'merch0', 'merch3', 'merch1', 'merch7', 'merch2', 'merch8', 'merch2', 'merch4', 'merch5', 'merch4']"
84,"['merch8', 'merch0', 'merch8', 'merch1', 'merch0', 'merch3', 'merch0', 'merch7', 'merch2', 'merch7', 'merch3', 'merch1', 'merch6', 'merch2', 'merch4', 'merch5']"
85,"['merch4', 'merch5', 'merch4', 'merch3', 'merch1', 'merch6', 'merch5', 'merch2', 'merch6', 'merch1', 'merch5', 'merch7', 'merch1']"
86,"['merch8', 'merch3', 'merch5', 'merch1', 'merch3', 'merch9', 'merch6', 'merch4', 'merch5', 'merch2', 'merch5', 'merch3', 'merch5', 'merch3', 'merch9', 'merch2']"
87,"['merch2', 'merch3', 'merch2', 'merch1', 'merch2', 'merch3', 'merch2', 'merch5', 'merch0', 'merch4', 'merch6', 'merch5', 'merch4', 'merch2', 'merch1', 'merch2', 'merch1', 'merch8', 'merch2', 'merch4']"
88,"['merch3', 'merch9', 'merch3', 'merch5', 'merch2', 'merch7', 'merch0', 'merch9', 'merch2', 'merch3', 'merch2', 'merch8', 'merch7', 'merch0', 'merch2', 'merch1']"
89,"['merch9', 'merch2', 'merch9', 'merch3', 'merch2', 'merch9', 'merch2', 'merch7', 'merch1', 'merch4', 'merch9', 'merch7', 'merch3', 'merch1']"
90,"['merch0', 'merch5', 'merch9', 'merch2', 'merch3', 'merch4', 'merch3', 'merch0', 'merch1', 'merch8', 'merch1', 'merch2', 'merch6', 'merch3', 'merch4', 'merch9', 'merch5']"
91,"['merch1', 'merch3', 'merch4', 'merch6', 'merch2', 'merch3', 'merch9', 'merch1', 'merch2', 'merch0', 'merch2', 'merch6', 'merch2', 'merch8', 'merch1']"
92,"['merch1', 'merch9', 'merch1', 'merch9', 'merch3', 'merch1', 'merch4', 'merch1', 'merch2', 'merch1', 'merch7', 'merch2', 'merch8', 'merch5', 'merch9']"
93,"['merch4', 'merch1', 'merch7', 'merch8', 'merch2', 'merch7', 'merch2', 'merch1', 'merch2', 'merch9', 'merch4', 'merch5', 'merch3', 'merch2', 'merch5', 'merch7', 'merch0']"
94,"['merch2', 'merch8', 'merch7', 'merch8', 'merch2', 'merch7', 'merch2', 'merch1', 'merch7', 'merch1', 'merch9']"
95,"['merch9', 'merch4', 'merch1', 'merch3', 'merch7', 'merch2', 'merch5', 'merch3', 'merch6', 'merch9', 'merch5', 'merch7', 'merch2']"
96,"['merch8', 'merch2', 'merch7', 'merch1', 'merch5', 'merch4', 'merch0', 'merch2', 'merch3', 'merch9', 'merch1', 'merch0']"
97,"['merch8', 'merch0', 'merch1', 'merch0', 'merch4', 'merch9', 'merch2', 'merch7', 'merch8', 'merch1']"
98,"['merch9', 'merch2', 'merch1', 'merch2', 'merch8', 'merch3', 'merch9', 'merch3', 'merch2', 'merch8', 'merch2', 'merch9']"
99,"['merch1', 'merch9', 'merch7', 'merch5', 'merch1', 'merch5', 'merch3', 'merch0', 'merch1', 'merch9', 'merch1']"
100,"['merch2', 'merch0', 'merch2', 'merch7', 'merch1', 'merch2', 'merch1', 'merch2', 'merch7', 'merch3', 'merch9', 'merch2', 'merch4', 'merch8']"
101,"['merch3', 'merch8', 'merch0', 'merch8', 'merch4', 'merch1', 'merch4', 'merch1', 'merch7', 'merch4', 'merch6', 'merch1', 'merch2']"
102,"['merch2', 'merch1', 'merch9', 'merch3', 'merch2', 'merch8', 'merch4', 'merch3', 'merch8', 'merch7', 'merch0', 'merch7', 'merch1', 'merch7', 'merch1', 'merch0', 'merch1', 'merch2', 'merch9']"
103,"['merch2', 'merch4', 'merch1', 'merch3', 'merch5', 'merch7']"
104,"['merch3', 'merch9', 'merch1', 'merch5', 'merch3', 'merch2', 'merch8', 'merch1', 'merch2', 'merch5', 'merch8', 'merch1']"
105,"['merch2', 'merch5', 'merch1', 'merch9', 'merch3', 'merch5', 'merch4', 'merch0', 'merch4', 'merch6', 'merch1', 'merch7']"
106,"['merch1', 'merch0', 'merch6', 'merch2', 'merch7', 'merch9', 'merch7', 'merch4', 'merch0', 'merch4', 'merch2', 'merch7', 'merch3', 'merch9', 'merch8']"
107,"['merch3', 'merch7', 'merch5', 'merch2', 'merch4', 'merch2', 'merch5', 'merch7', 'merch2', 'merch9', 'merch2', 'merch6', 'merch2', 'merch1', 'merch2', 'merch5', 'merch0', 'merch5', 'merch9']"
108,"['merch8', 'merch7', 'merch2', 'merch6', 'merch2', 'merch9', 'merch3', 'merch5', 'merch0', 'merch1', 'merch5', 'merch7', 'merch2', 'merch1', 'merch4', 'merch1', 'merch4', 'merch0']"
109,"['merch2', 'merch0', 'merch5', 'merch6', 'merch0', 'merch3', 'merch0', 'merch9', 'merch2', 'merch0']"
110,"['merch3', 'merch2', 'merch3', 'merch2', 'merch1', 'merch4', 'merch5', 'merch4', 'merch5', 'merch2', 'merch1', 'merch8', 'merch0', 'merch5', 'merch3', 'merch9', 'merch2', 'merch7', 'merch1', 'merch3']"
111,"['merch5', 'merch2', 'merch3', 'merch4', 'merch1', 'merch2', 'merch5', 'merch8', 'merch7', 'merch5', 'merch9', 'merch2', 'merch1', 'merch4', 'merch2', 'merch8', 'merch2', 'merch4']"
112,"['merch8', 'merch4', 'merch3', 'merch2', 'merch5', 'merch7', 'merch1', 'merch2', 'merch5', 'merch0', 'merch8', 'merch2', 'merch5']"
113,"['merch1', 'merch0', 'merch2', 'merch5', 'merch4', 'merch9', 'merch2', 'merch3', 'merch7', 'merch2', 'merch3', 'merch5', 'merch8', 'merch4', 'merch2', 'merch0', 'merch1']"
114,"['merch9', 'merch5', 'merch1', 'merch8', 'merch0', 'merch3', 'merch4', 'merch7', 'merch3', 'merch2', 'merch9', 'merch2', 'merch1']"
115,"['merch3', 'merch0', 'merch1', 'merch6', 'merch2', 'merch1', 'merch2', 'merch1', 'merch6']"
116,"['merch3', 'merch9', 'merch5', 'merch4', 'merch1', 'merch9', 'merch3', 'merch8', 'merch7', 'merch8', 'merch2', 'merch3', 'merch0']"
117,"['merch8', 'merch3', 'merch1', 'merch5', 'merch0', 'merch3', 'merch2', 'merch4', 'merch8', 'merch0', 'merch8', 'merch1', 'merch8']"
118,"['merch7', 'merch8', 'merch7', 'merch1', 'merch3', 'merch1', 'merch4', 'merch2', 'merch8', 'merch9', 'merch2', 'merch1', 'merch7', 'merch2', 'merch9', 'merch0', 'merch4', 'merch3', 'merch7', 'merch2']"
119,"['merch9', 'merch3', 'merch1', 'merch3', 'merch9', 'merch4', 'merch0', 'merch3', 'merch4', 'merch9', 'merch4', 'merch5', 'merch9', 'merch8', 'merch4', 'merch3', 'merch7', 'merch5', 'merch7', 'merch1', 'merch7']"
120,"['merch0', 'merch7', 'merch5', 'merch1', 'merch3', 'merch2', 'merch3', 'merch8', 'merch9', 'merch4']"
121,"['merch3', 'merch2', 'merch4', 'merch2', 'merch3', 'merch8', 'merch1', 'merch3', 'merch2']"
122,"['merch3', 'merch1', 'merch2', 'merch6', 'merch1', 'merch2', 'merch4', 'merch7', 'merch3', 'merch2', 'merch4', 'merch2', 'merch7']"
123,"['merch3', 'merch4', 'merch3', 'merch1', 'merch3', 'merch8', 'merch9', 'merch8', 'merch4', 'merch7', 'merch4', 'merch3', 'merch1', 'merch0']"
124,"['merch1', 'merch2', 'merch4', 'merch1', 'merch2', 'merch8', 'merch1', 'merch9', 'merch3', 'merch2', 'merch6', 'merch3']"
125,"['merch3', 'merch2', 'merch5', 'merch1', 'merch3', 'merch2', 'merch3', 'merch0', 'merch2', 'merch7', 'merch4', 'merch7', 'merch0', 'merch5', 'merch8', 'merch2', 'merch5', 'merch3', 'merch9', 'merch2', 'merch9', 'merch5', 'merch7', 'merch3', 'merch5', 'merch8', 'merch2']"
126,"['merch1', 'merch0', 'merch8', 'merch5', 'merch8', 'merch4', 'merch9', 'merch7', 'merch2', 'merch0', 'merch7', 'merch2', 'merch1']"
127,"['merch7', 'merch2', 'merch6', 'merch9', 'merch4', 'merch1', 'merch6', 'merch4', 'merch1', 'merch5', 'merch1', 'merch4', 'merch1', 'merch7', 'merch4', 'merch1', 'merch2', 'merch9']"
128,"['merch4', 'merch2', 'merch9', 'merch1', 'merch2', 'merch3', 'merch1', 'merch8', 'merch3', 'merch7', 'merch2', 'merch3', 'merch4', 'merch9', 'merch7', 'merch8', 'merch1']"
129,"['merch2', 'merch5', 'merch3', 'merch5', 'merch6', 'merch5', 'merch3', 'merch7', 'merch8', 'merch2', 'merch6', 'merch5', 'merch4', 'merch5', 'merch4', 'merch3', 'merch8', 'merch0', 'merch9', 'merch7', 'merch1', 'merch5', 'merch2', 'merch9', 'merch8']"
130,"['merch2', 'merch4', 'merch1', 'merch9', 'merch5', 'merch9', 'merch8', 'merch7', 'merch0', 'merch7', 'merch0', 'merch4', 'merch1', 'merch2']"
131,"['merch8', 'merch1', 'merch3', 'merch2', 'merch4', 'merch1', 'merch7', 'merch6', 'merch3', 'merch5', 'merch6', 'merch4']"
132,"['merch7', 'merch3', 'merch1', 'merch5', 'merch4', 'merch6', 'merch7', 'merch2', 'merch9', 'merch0', 'merch4', 'merch3']"
133,"['merch1', 'merch5', 'merch7', 'merch9', 'merch1', 'merch2', 'merch5', 'merch0', 'merch6', 'merch9', 'merch7', 'merch5', 'merch1', 'merch4']"
134,"['merch6', 'merch3', 'merch2', 'merch1', 'merch4', 'merch2', 'merch8', 'merch4', 'merch0', 'merch2', 'merch5', 'merch2', 'merch5', 'merch4', 'merch9']"
135,"['merch4', 'merch5', 'merch4', 'merch1', 'merch3', 'merch1', 'merch6', 'merch1', 'merch8', 'merch5', 'merch7', 'merch9', 'merch3', 'merch2', 'merch8', 'merch2', 'merch7', 'merch0']"
136,"['merch2', 'merch8', 'merch2', 'merch5', 'merch2', 'merch0', 'merch7', 'merch0', 'merch2', 'merch5', 'merch7', 'merch9', 'merch1', 'merch3']"
137,"['merch2', 'merch0', 'merch3', 'merch4', 'merch7', 'merch4', 'merch1', 'merch3', 'merch5', 'merch8', 'merch5', 'merch2', 'merch5', 'merch1', 'merch9', 'merch8', 'merch3']"
138,"['merch7', 'merch0', 'merch4', 'merch5', 'merch2', 'merch7', 'merch5', 'merch1', 'merch4', 'merch0', 'merch4', 'merch1', 'merch8', 'merch2', 'merch4']"
139,"['merch3', 'merch9', 'merch1', 'merch8', 'merch4', 'merch1', 'merch4', 'merch3', 'merch2', 'merch8', 'merch4', 'merch2', 'merch8', 'merch9', 'merch2', 'merch7', 'merch8', 'merch5']"
140,"['merch2', 'merch5', 'merch8', 'merch7', 'merch1', 'merch4', 'merch1', 'merch5', 'merch0']"
141,"['merch1', 'merch2', 'merch3', 'merch6', 'merch1', 'merch2', 'merch1', 'merch0', 'merch7', 'merch3', 'merch2', 'merch0', 'merch5', 'merch3', 'merch1']"
142,"['merch4', 'merch2', 'merch7', 'merch4', 'merch9', 'merch3', 'merch9', 'merch3', 'merch1', 'merch4', 'merch2', 'merch4', 'merch8', 'merch6', 'merch4', 'merch5']"
143,"['merch8', 'merch4', 'merch3', 'merch9', 'merch4', 'merch2', 'merch1', 'merch9', 'merch3', 'merch8', 'merch2', 'merch5']"
144,"['merch1', 'merch3', 'merch7', 'merch3', 'merch1', 'merch5', 'merch4', 'merch3', 'merch7', 'merch0', 'merch2', 'merch0', 'merch4', 'merch3', 'merch1', 'merch7', 'merch1', 'merch2', 'merch7']"
145,"['merch1', 'merch9', 'merch1', 'merch9', 'merch0', 'merch3', 'merch2', 'merch1', 'merch5', 'merch3', 'merch8', 'merch3', 'merch9', 'merch1', 'merch2', 'merch3']"
146,"['merch7', 'merch9', 'merch2', 'merch1', 'merch3', 'merch7', 'merch2', 'merch7', 'merch3', 'merch4', 'merch0']"
147,"['merch2', 'merch4', 'merch9', 'merch7', 'merch5', 'merch7', 'merch4', 'merch7', 'merch1', 'merch8', 'merch2', 'merch3', 'merch2', 'merch7', 'merch1', 'merch7']"
